symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
KNRCON,Outside Nifty500,No,-3.53,121.22,125.66,545004.0,897446.0,60.7,20
LMW,Outside Nifty500,No,-3.52,17103.0,17727.0,1399.0,2526.0,55.4,20
ALLTIME,Outside Nifty500,No,-3.51,213.38,221.15,44291.0,75062.0,59.0,20
GUJRAFFIA,Outside Nifty500,No,-3.5,40.26,41.72,392.0,1261.0,31.1,20
UNOMINDA,Midcap150,Yes,-3.49,1159.7,1201.6,229918.0,380882.0,60.4,20
BHARATFORG,Midcap150,Yes,-3.48,1877.2,1944.9,139312.0,559621.0,24.9,20
MOTILALOFS,Midcap150,Yes,-3.48,990.8,1026.5,266935.0,392344.0,68.0,20
ADOR,Outside Nifty500,No,-3.46,1548.2,1603.7,17269.0,29270.0,59.0,20
BAJAJINDEF,Outside Nifty500,No,-3.45,220.69,228.57,6266.0,15374.0,40.8,20
DCMNVL,Outside Nifty500,No,-3.45,172.6,178.77,7537.0,16851.0,44.7,20
TECILCHEM,Outside Nifty500,No,-3.44,9.27,9.6,12811.0,27632.0,46.4,20
SOMATEX,Outside Nifty500,No,-3.43,81.62,84.52,2201.0,10403.0,21.2,20
AGI,Outside Nifty500,No,-3.41,736.65,762.65,44560.0,94502.0,47.2,20
VITAL,Outside Nifty500,No,-3.4,53.76,55.65,6725.0,16717.0,40.2,12
DALBHARAT,Midcap150,No,-3.39,1687.4,1746.6,31875.0,156368.0,20.4,20
VTL,Smallcap250,No,-3.39,547.0,566.2,84970.0,178858.0,47.5,20
ATL,Outside Nifty500,No,-3.38,24.33,25.18,117606.0,186401.0,63.1,20
MANAKCOAT,Outside Nifty500,No,-3.38,124.19,128.53,70324.0,206788.0,34.0,20
EMAMIREAL,Outside Nifty500,No,-3.37,67.45,69.8,4297.0,12717.0,33.8,20
INDBANK,Outside Nifty500,No,-3.36,26.71,27.64,24549.0,55808.0,44.0,20
NELCAST,Outside Nifty500,No,-3.36,104.91,108.56,28266.0,76586.0,36.9,20
ERIS,Smallcap250,No,-3.35,1310.1,1355.5,22949.0,34843.0,65.9,20
GKENERGY,Outside Nifty500,No,-3.35,123.57,127.85,135478.0,213972.0,63.3,20
SAIL,Midcap150,Yes,-3.35,173.0,179.0,4302258.0,10140292.0,42.4,20
TEGA,Smallcap250,No,-3.35,1671.1,1729.1,66879.0,132260.0,50.6,20
MANORAMA,Outside Nifty500,No,-3.34,1987.1,2055.7,80308.0,117342.0,68.4,20
FMGOETZE,Outside Nifty500,No,-3.33,445.65,461.0,104245.0,558793.0,18.7,20
MOREALTY,Outside Nifty500,No,-3.33,82.37,85.21,500062.0,951465.0,52.6,20
PVSL,Outside Nifty500,No,-3.33,97.93,101.3,8610.0,20905.0,41.2,20
CIFL,Outside Nifty500,No,-3.32,19.53,20.2,14562.0,139016.0,10.5,20
HNDFDS,Outside Nifty500,No,-3.32,598.15,618.7,37438.0,64043.0,58.5,20
PFS,Outside Nifty500,No,-3.32,26.51,27.42,167019.0,319996.0,52.2,20
ADVANCE,Outside Nifty500,No,-3.31,113.95,117.85,45242.0,83712.0,54.0,20
HPIL,Outside Nifty500,No,-3.31,119.77,123.87,349.0,1122.0,31.1,20
HERANBA,Outside Nifty500,No,-3.28,165.95,171.58,11895.0,30440.0,39.1,20
GENCON,Outside Nifty500,No,-3.27,39.67,41.01,17010.0,100278.0,17.0,20
ARIHANT,Outside Nifty500,No,-3.26,858.8,887.75,1378.0,2272.0,60.7,20
IIFL,Smallcap250,No,-3.26,581.05,600.6,997336.0,1608888.0,62.0,20
RIR,Outside Nifty500,No,-3.25,171.5,177.26,147277.0,251691.0,58.5,20
CARRARO,Outside Nifty500,No,-3.24,521.0,538.45,55364.0,83956.0,65.9,20
