symbol,index,fno,chg,close,prev_close,deliv,avg20d,ratio_pct,n_days_d
BLKASHYAP,Outside Nifty500,No,-4.47,51.5,53.91,423674.0,522645.0,81.1,20
AYMSYNTEX,Outside Nifty500,No,-4.46,269.1,281.65,57157.0,79854.0,71.6,20
DBOL,Outside Nifty500,No,-4.46,113.26,118.55,153645.0,183385.0,83.8,20
PRAXIS,Outside Nifty500,No,-4.46,4.28,4.48,134686.0,169441.0,79.5,20
HUBTOWN,Outside Nifty500,No,-4.43,173.18,181.21,195385.0,255741.0,76.4,20
SRM,Outside Nifty500,No,-4.43,419.9,439.35,37671.0,48815.0,77.2,20
FAZE3Q,Outside Nifty500,No,-4.41,467.85,489.45,9448.0,13303.0,71.0,20
DREDGECORP,Outside Nifty500,No,-4.4,994.0,1039.7,36549.0,44900.0,81.4,20
KERNEX,Outside Nifty500,No,-4.38,1656.3,1732.1,60822.0,114282.0,53.2,20
HAPPYFORGE,Outside Nifty500,No,-4.37,2074.3,2169.0,49086.0,51447.0,95.4,20
WEL,Outside Nifty500,No,-4.37,69.18,72.34,392112.0,1575860.0,24.9,20
VISHNU,Outside Nifty500,No,-4.36,682.8,713.95,53958.0,85651.0,63.0,20
HINDCOPPER,Smallcap250,No,-4.35,492.1,514.5,3605965.0,5153149.0,70.0,20
MAGADSUGAR,Outside Nifty500,No,-4.35,520.15,543.8,8531.0,24188.0,35.3,20
SARDAEN,Smallcap250,No,-4.35,501.35,524.15,210755.0,213708.0,98.6,20
CENTUM,Outside Nifty500,No,-4.33,4010.6,4192.0,13857.0,27046.0,51.2,20
JAIBALAJI,Outside Nifty500,No,-4.33,62.25,65.07,392917.0,611938.0,64.2,20
RELTD,Outside Nifty500,No,-4.33,148.9,155.64,56970.0,95216.0,59.8,20
AVTNPL,Outside Nifty500,No,-4.32,86.24,90.13,152449.0,162038.0,94.1,20
CNL,Outside Nifty500,No,-4.32,1068.6,1116.9,7040.0,14661.0,48.0,20
KMSUGAR,Outside Nifty500,No,-4.31,29.1,30.41,146191.0,268006.0,54.5,20
LOKESHMACH,Outside Nifty500,No,-4.31,332.2,347.15,14734.0,35956.0,41.0,12
CEINSYS,Outside Nifty500,No,-4.3,676.6,707.0,27602.0,31184.0,88.5,20
JSL,Midcap150,No,-4.3,723.55,756.1,291448.0,464494.0,62.7,20
KLBRENG-B,Outside Nifty500,No,-4.3,466.0,486.95,135708.0,229688.0,59.1,20
ADANIENT,Nifty50,Yes,-4.29,2928.6,3060.0,920830.0,1151996.0,79.9,20
ALPINETEX,Outside Nifty500,No,-4.29,54.68,57.13,51006.0,116914.0,43.6,20
PAYTM,Midcap150,Yes,-4.29,1730.0,1807.5,1378018.0,1974189.0,69.8,20
SUPREMEINF,Outside Nifty500,No,-4.28,81.4,85.04,26500.0,29860.0,88.7,20
VISACHROME,Outside Nifty500,No,-4.28,33.53,35.03,8258.0,234726.0,3.5,20
DHAMPURSUG,Outside Nifty500,No,-4.27,156.61,163.59,260162.0,482374.0,53.9,20
PERMAGN,Outside Nifty500,No,-4.27,827.7,864.65,2002.0,3805.0,52.6,20
RATNAMANI,Outside Nifty500,No,-4.27,2691.4,2811.4,26947.0,45329.0,59.4,20
ZSARACOM,Outside Nifty500,No,-4.26,10337.0,10797.0,36.0,53.0,67.9,20
BIL,Outside Nifty500,No,-4.24,1027.55,1073.0,7053.0,15262.0,46.2,20
CPPLUS,Smallcap250,No,-4.24,3663.4,3825.5,93183.0,133439.0,69.8,20
JUBLINGREA,Smallcap250,No,-4.24,630.5,658.4,76642.0,162723.0,47.1,20
PARADEEP,Smallcap250,No,-4.24,149.34,155.96,991045.0,1688728.0,58.7,20
REPRO,Outside Nifty500,No,-4.23,296.4,309.5,6200.0,15889.0,39.0,20
MALLCOM,Outside Nifty500,No,-4.22,911.95,952.15,2620.0,4063.0,64.5,20
INDIANHUME,Outside Nifty500,No,-4.21,354.0,369.55,18579.0,26353.0,70.5,20
KAPSTON,Outside Nifty500,No,-4.21,563.45,588.2,26290.0,39777.0,66.1,20
LEXUS,Outside Nifty500,No,-4.21,12.75,13.31,13304.0,13949.0,95.4,20
SIGNPOST,Outside Nifty500,No,-4.2,264.65,276.25,28087.0,59659.0,47.1,20
TERASOFT,Outside Nifty500,No,-4.2,238.35,248.8,13774.0,15292.0,90.1,20
WAKEFIT,Outside Nifty500,No,-4.2,148.61,155.13,214137.0,451786.0,47.4,20
ELIN,Outside Nifty500,No,-4.19,87.15,90.96,107449.0,115214.0,93.3,20
NAHARSPING,Outside Nifty500,No,-4.19,261.65,273.1,10936.0,25539.0,42.8,20
SIKA,Outside Nifty500,No,-4.19,1040.05,1085.55,21509.0,23079.0,93.2,20
INDOMIM,Outside Nifty500,No,-4.18,975.65,1018.2,557595.0,819543.0,68.0,20
MAWANASUG,Outside Nifty500,No,-4.18,129.0,134.63,88467.0,237785.0,37.2,20
ODYCORP,Outside Nifty500,No,-4.18,6.88,7.18,14855.0,60799.0,24.4,20
KREBSBIO,Outside Nifty500,No,-4.17,56.27,58.72,6709.0,8099.0,82.8,20
OBEROIRLTY,Midcap150,Yes,-4.17,1668.5,1741.1,194910.0,207555.0,93.9,20
RICOAUTO,Outside Nifty500,No,-4.17,128.58,134.17,273839.0,336146.0,81.5,20
ARTEMISMED,Outside Nifty500,No,-4.16,330.55,344.9,203253.0,204535.0,99.4,20
BEML,Smallcap250,No,-4.16,1939.3,2023.4,110346.0,149036.0,74.0,20
DIGITIDE,Outside Nifty500,No,-4.16,85.06,88.75,112141.0,117684.0,95.3,20
HSCL,Smallcap250,No,-4.16,637.25,664.9,1768479.0,2129999.0,83.0,20
VIYASH,Outside Nifty500,No,-4.15,246.9,257.6,1808770.0,4673052.0,38.7,20
MANAKSIA,Outside Nifty500,No,-4.14,68.01,70.95,39064.0,65222.0,59.9,20
TREJHARA,Outside Nifty500,No,-4.14,137.1,143.02,5086.0,12129.0,41.9,20
BRIGADE,Smallcap250,No,-4.13,612.25,638.65,73723.0,264734.0,27.8,20
VARROC,Outside Nifty500,No,-4.13,836.0,872.0,110943.0,144628.0,76.7,20
VIDHIING,Outside Nifty500,No,-4.13,320.65,334.45,13673.0,30518.0,44.8,20
KOHINOOR,Outside Nifty500,No,-4.12,29.58,30.85,35136.0,150965.0,23.3,20
TIMEX,Outside Nifty500,No,-4.12,605.65,631.7,165342.0,174469.0,94.8,20
HESTERBIO,Outside Nifty500,No,-4.11,2171.8,2264.9,2213.0,2958.0,74.8,20
ABCAPITAL,Midcap150,Yes,-4.1,378.8,395.0,1275946.0,1487509.0,85.8,20
CGCL,Smallcap250,No,-4.1,255.1,266.0,1151681.0,2224142.0,51.8,20
COFFEEDAY,Outside Nifty500,No,-4.1,30.37,31.67,442405.0,752756.0,58.8,6
DCW,Outside Nifty500,No,-4.1,44.72,46.63,511430.0,690907.0,74.0,20
5PAISA,Outside Nifty500,No,-4.09,313.2,326.55,22340.0,31282.0,71.4,20
ORIRAIL,Outside Nifty500,No,-4.09,119.03,124.11,53679.0,116199.0,46.2,20
SPARC,Outside Nifty500,No,-4.09,188.0,196.01,328528.0,328719.0,99.9,20
APCOTEXIND,Outside Nifty500,No,-4.07,576.7,601.15,66581.0,72670.0,91.6,20
BHARATSE,Outside Nifty500,No,-4.07,208.62,217.47,69219.0,71783.0,96.4,20
JSWENERGY,Midcap150,Yes,-4.07,505.0,526.45,434555.0,1084976.0,40.1,20
SKYWAYS,Outside Nifty500,No,-4.07,111.29,116.01,579763.0,2984780.0,19.4,11
WEBELSOLAR,Outside Nifty500,No,-4.07,72.75,75.84,948738.0,1148007.0,82.6,20
ONEGLOBAL,Outside Nifty500,No,-4.06,518.5,540.45,10276.0,15039.0,68.3,20
SILINV,Outside Nifty500,No,-4.06,444.95,463.8,980.0,2174.0,45.1,20
ZAGGLE,Outside Nifty500,No,-4.06,179.41,187.0,500552.0,886146.0,56.5,20
IDEAFORGE,Outside Nifty500,No,-4.05,704.25,733.95,138243.0,157432.0,87.8,20
CARBORUNIV,Smallcap250,No,-4.04,1031.8,1075.2,96757.0,99810.0,96.9,20
ARVINDFASN,Outside Nifty500,No,-4.03,428.5,446.5,83252.0,132810.0,62.7,20
VSTL,Outside Nifty500,No,-4.03,114.88,119.71,9688.0,11977.0,80.9,20
EPACK,Outside Nifty500,No,-4.02,177.7,185.15,180844.0,183830.0,98.4,20
PDSL,Outside Nifty500,No,-4.01,334.25,348.2,39228.0,79522.0,49.3,20
IGPL,Outside Nifty500,No,-3.99,525.25,547.05,37609.0,60482.0,62.2,20
SARVESHWAR,Outside Nifty500,No,-3.99,3.85,4.01,1292186.0,2032017.0,63.6,20
DENTA,Outside Nifty500,No,-3.98,276.3,287.75,41935.0,49708.0,84.4,20
SHANTIGOLD,Outside Nifty500,No,-3.98,247.89,258.17,401827.0,899274.0,44.7,20
NUVAMA,Smallcap250,No,-3.97,1668.2,1737.2,131715.0,138113.0,95.4,20
OAL,Outside Nifty500,No,-3.97,510.95,532.1,24874.0,47287.0,52.6,20
BROOKS,Outside Nifty500,No,-3.96,63.09,65.69,18608.0,31449.0,59.2,6
