sym,entry,exit,qty,entry_px,exit_px,pnl,ret_pct,R,rate,mfe_pct,mae_pct,mfe_R,mae_R,hold
VATWAB,2026-07-10,2026-07-17,8.0,2149.16899,1981.6008124999998,-1340.5454200000022,-7.796882342881761,-1.1138403346973942,0.07,3.351574973171356,-7.354888830775486,0.4787964247387651,-1.050698404396498,7
VATWAB,2026-07-10,2026-07-17,2.0,2149.16899,1981.60107,-335.13584000000037,-7.796870361506569,-1.1138386230723676,0.07,3.351574973171356,-7.354888830775486,0.4787964247387651,-1.050698404396498,7
VATWAB,2026-07-16,2026-07-17,8.0,2115.1506625,1981.60107,-1068.396740000002,-6.313951760871328,-0.9019931086959033,0.07,-2.8721671499370105,-5.864861766082363,-0.41030959284814433,-0.8378373951546232,1
CAREVE,2026-05-14,2026-07-17,25.0,757.7764,643.0994215384615,-2866.9244615384628,-15.133353118616322,-2.1619075883737606,0.07,2.200332446352249,-23.546048676100227,0.31433320662174985,-3.36372123944289,64
CAREVE,2026-05-18,2026-07-17,20.0,760.383585,643.0994215384615,-2345.6832692307717,-15.42434184208995,-2.2034774060128495,0.07,0.08764194981929485,-23.80819215080767,0.012520278545613548,-3.401170307258238,60
CAREVE,2026-05-29,2026-07-17,20.0,754.315865,643.0994215384615,-2224.3288692307715,-14.744014891101164,-2.1062878415858806,0.07,-3.216936846476126,-23.195304927067916,-0.45956240663944653,-3.3136149895811307,49
NATMIN,2026-04-28,2026-07-17,100.0,91.604048,83.58394533333333,-802.0102666666673,-8.755183686496771,-1.2507405266423959,0.07,4.842528356388787,-9.152486361738077,0.6917897651983981,-1.307498051676868,80
NATMIN,2026-05-14,2026-07-17,250.0,93.33755280000001,83.58394533333333,-2438.40186666667,-10.449821292793393,-1.4928316132561992,0.07,2.8953482482990456,-10.839745093466835,0.41362117832843504,-1.5485350133524047,64
NATMIN,2026-06-02,2026-07-17,100.0,96.83456399999999,83.58394533333333,-1325.0618666666653,-13.683769636910492,-1.9548242338443556,0.07,-0.8205375923414859,-14.059612020352553,-0.1172196560487837,-2.0085160029075073,45
DIAPOW,2026-06-30,2026-07-17,50.0,214.632203,220.044418,270.61075000000017,2.521623001744988,0.3602318573921416,0.07,11.446463604531875,-7.334501896716783,1.6352090863616962,-1.0477859852452545,17
GOOLUC,2026-07-09,2026-07-17,10.0,1490.9731666666667,1526.1315299999999,351.5836333333323,2.3580815617182393,0.3368687945311771,0.07,9.28432760750557,3.730907743812506,1.3263325153579384,0.5329868205446436,8
GOOLUC,2026-07-09,2026-07-17,20.0,1490.9731666666667,1525.5445499999998,691.4276666666638,2.3187126439454087,0.331244663420772,0.07,9.28432760750557,3.730907743812506,1.3263325153579384,0.5329868205446436,8
GOOLUC,2026-07-09,2026-07-17,10.0,1547.43596,1525.5445499999998,-218.91410000000178,-1.4146892385776155,-0.2020984626539447,0.07,5.296764591149872,-0.0540222679069724,0.756680655878553,-0.007717466843853199,8
KRNHEA,2026-06-29,2026-07-17,20.0,1198.4784100000002,1248.65184,1003.4685999999965,4.1864275218775004,0.598061074553928,0.07,7.686545642486764,0.5524997317223113,1.0980779489266805,0.07892853310318731,18
DIAPOW,2026-07-07,2026-07-17,100.0,225.24192599999998,219.209042,-603.2883999999967,-2.678401888643045,-0.3826288412347206,0.07,6.196925345062088,-1.270600927111587,0.8852750492945839,-0.18151441815879815,10
DIAPOW,2026-07-08,2026-07-17,50.0,230.364702,219.209042,-557.7829999999992,-4.842608222157219,-0.6918011745938889,0.07,3.8353523449091487,-3.4661134846952324,0.5479074778441639,-0.495159069242176,9
DIAPOW,2026-07-14,2026-07-17,50.0,229.841872,219.209042,-531.6414999999993,-4.6261501037548,-0.6608785862506862,0.07,-1.458338278762361,-3.246524201647649,-0.2083340398231944,-0.46378917166394984,3
REGLEA,2026-06-18,2026-07-17,150.0,128.047318,115.38460199999999,-1899.4074000000005,-9.88909115613027,-1.41272730801861,0.07,13.231578969892999,-8.713433576172203,1.8902255671275712,-1.2447762251674575,29
IOLCHE,2026-07-13,2026-07-17,75.0,170.3755,150.27940488888888,-1507.2071333333333,-11.79517894950337,-1.685025564214767,0.07,1.9982333140621922,-12.93936041273539,0.28546190200888455,-1.8484800589621984,4
IOLCHE,2026-07-14,2026-07-17,75.0,172.258656,150.27940488888888,-1648.4438333333344,-12.759446533189678,-1.8227780761699532,0.07,0.8831741959022255,-13.891119642777195,0.12616774227174649,-1.9844456632538847,3
IOLCHE,2026-07-14,2026-07-17,75.0,176.01157866666665,150.27940488888888,-1929.913033333333,-14.61959149091535,-2.0885130701307637,0.07,-1.2678590144872492,-15.727135042115847,-0.1811227163553213,-2.2467335774451205,3
